,2192,2124,2208,1068
1,0.10363974,8.717063,0.51034504,6.4091721
2,9.4182625,1.5009532,7.1989269,3.0666986
3,8.1089954,1.711308,5.5988197,2.8797629
4,8.1478329,2.05937,5.4409094,3.1682487
5,9.4686737,2.5967331,6.996736,4.0296249
6,3.0975664,0.030609874,4.4148369,0.14681321
7,10.386971,1.6973054,8.0054674,3.0341301
8,3.2008076,0.55450648,6.8725958,0.746162
9,4.4243155,46.939049,5.2304811,41.528114
10,2.1855521,45.914429,2.5508926,49.700981
11,0,2.665076,0.013960592,4.6719322
12,0.3628189,3.536499,0.71913832,5.4685287
13,2.9740999,1.2424492,5.6901054,1.0154804
14,3.2794681,0.92384863,5.8775864,0.73929626
15,2.8997781,0.52770853,5.2167969,0.86709565
16,7.849781,0.82600445,6.5229106,1.957996
17,8.778182,1.6595,12.10312,2.0712907
18,0.038238682,0.70130646,2.1012909,0.137724
19,3.9182031,0.56525826,6.0832095,3.0961778
20,-0.011070168,4.3789644,1.2346686,2.1253793
21,3.5308061,0.097519018,5.2675114,0.60022521
22,4.3227801,0.59931755,6.8829002,0.69281787
23,11.594149,1.8884373,12.857979,1.732976
24,8.4456835,0.006344376,8.2240353,0.43595451
25,4.230165,0.53789133,7.2238126,0.62903464
26,7.427494,2.2090385,5.813272,3.3862579
27,8.0037832,0.80536062,6.6845131,1.512344
28,5.7925758,41.305588,4.7365227,34.19772
29,27.636015,95.991051,38.854698,82.773453
30,21.163885,29.222923,5.3314447,34.383041
31,7.3911686,3.28,5.2034636,4.072504
32,0.2120751,0.20119861,2.3898442,-0.17365758
33,7.7467122,0.08192195,6.7247572,1.3525143
34,8.8686285,2.0581105,6.3575048,2.9658215
35,2.6793389,0.059793275,4.4310937,-0.073571116
36,1.2329199,6.6282325,1.5336934,4.8473573
37,0.77890313,0.92390132,3.3865058,0.026134599
38,7.5489254,3.2141631,5.5140147,4.2532001
39,16.401571,32.361938,1.4346395,39.924442
40,1.6943254,9.0204821,1.0496179,11.935137
41,3.7528286,0.75642049,7.9808998,0.59703422
42,4.3942652,48.039761,6.4357224,42.876446
43,0.86535597,49.14212,6.55516,49.720154
44,9.0349588,3.0642619,5.441721,4.6583056
45,1.4046867,4.5505638,4.0348454,2.3833914
46,0,0.13854182,1.1351963,-0.075003318
47,11.513151,0,12.52745,0
48,8.2223215,0,10.73236,0
49,13.419237,3.2660999,10.113416,3.4327879
50,7.1922779,8.3005419,4.5851331,9.4922209
51,5.9024258,42.069672,3.1474612,34.128471
52,11.580791,2.1423106,9.0139484,3.8517847
53,4.0340071,4.1584411,3.8775227,6.0592799
54,4.3368568,4.9427128,1.3528891,3.8685515
55,2.5062554,1.254943,5.2036314,0.68266815
56,0.068606183,48.610119,6.02074,51.189342
57,2.0482457,7.1458402,0.94002706,9.2232037
58,5.7414303,49.479843,5.3444715,46.009228
59,4.0904584,26.099989,1.2734768,16.691429
60,0,1.7064772,0,2.6951075
61,50.160942,37.839382,46.012814,30.573433
62,8.8108158,4.2697268,3.8741412,5.1676402
63,11.89569,4.6406603,8.4498739,5.7034135
64,4.8742328,26.208481,1.6689618,16.673428
65,3.6582665,5.2138081,1.0511386,3.8938577
66,45.721039,24.756657,29.666008,24.105742
67,5.9901714,-0.00356263,8.6619253,-0.015004581
68,1.2071869,4.0520372,4.9354701,1.9701079
69,11.202171,1.6366792,8.9416676,3.6113129
70,6.5329719,0,9.3110495,0
71,11.257886,1.9811094,8.926877,3.7737699
72,10.001451,4.4202428,6.6779046,5.7284822
73,7.8330402,5.9739041,4.4698181,7.4274998
74,5.0397587,5.4346786,4.0059485,6.2826715
75,-0.14107983,8.3532085,-0.2272528,6.3730731
76,10.403427,1.0023127,9.2191286,2.2379911
77,44.111023,27.122831,26.979115,26.251637
78,11.467564,0.083804697,11.126823,0.91047287
79,11.03506,1.1665595,9.0647182,2.8989601
80,1.8919363,0.25548324,4.8233814,-0.051194999
81,7.6412106,45.334797,4.6033921,38.330051
82,8.4476423,0,11.275257,0
83,1.2821218,13.2676,0.43089199,13.213822
84,8.3025818,0.58272296,9.6358566,0.12820724
85,10.196106,2.7357199,6.7228003,4.0490417
86,11.928721,2.0846581,8.5046911,2.400485
87,8.5320883,2.8488305,3.8659546,3.3911719
88,7.4501686,3.9922876,4.2232609,5.3968511
89,9.223115,0,10.571706,0
90,4.411562,0.07778541,7.2614346,0.25644359
91,9.4036627,5.2026691,6.398345,6.7412739
92,4.1858287,0.20191798,6.7744966,-0.083240002
93,9.4222393,4.2456646,5.9457612,5.7569599
94,35.11956,25.083591,16.060286,28.191219
95,5.8642001,43.623291,4.8482351,35.960358
96,6.1722326,47.478336,5.7857537,42.88258
97,-0.017203627,3.1438634,1.6189615,1.353302
98,7.2505412,41.437435,3.7993107,33.48798
99,0,6.8324227,0.74042195,4.5920582
100,4.177712,1.1603141,7.0045929,0.74027878
101,-0.12611526,6.0334668,1.1515998,4.2513413
102,7.3354139,4.5124154,5.1051354,7.6097803
103,8.112072,45.547897,4.1981502,37.373787
104,2.4828522,0.025581684,3.2162113,-0.009752359
105,42.928658,17.984636,21.63814,20.523378
106,4.5669899,7.1726122,2.468776,4.6479654
107,0.65557569,50.647449,4.2178345,55.461761
108,2.1356914,2.2718968,2.3972313,0.46432462
109,3.6105199,53.225296,7.1748147,46.344299
110,5.9438195,37.7006,3.6030645,28.820618
111,5.5391231,1.2146784,7.9549408,2.8794999
112,4.3621178,3.361012,5.8856959,-0.066623643
113,3.8950326,53.735329,8.2611027,46.730549
114,4.2222967,0.86534935,6.7478786,1.471432
115,1.8746459,2.8386273,-0.006350277,1.5887448
116,4.9435,48.099442,4.6266828,40.13393
117,46.953259,21.158281,31.550798,20.292839
118,2.1412015,0.55766159,4.094326,1.9110457
119,0.31144947,-1.0783114,3.6418073,-1.054438
120,1.6339121,53.435699,6.3545012,48.562721
121,2.6998508,52.907337,5.6223555,47.5387
122,0.24049065,51.110001,3.5176549,56.491405
123,0,52.245731,4.0218515,55.306541
124,43.516224,20.841454,24.059435,21.36088
125,2.6107812,7.2549701,4.803268,1.8652234
126,3.7983873,26.371679,2.1165845,16.13015
127,6.4282141,35.560532,3.9353092,26.158184
128,3.2211349,4.1893625,0.019127503,5.2905679
129,3.3231521,0.76060498,3.8967116,0.038269684
130,2.8383572,50.973064,6.1861668,45.526852
131,3.4472659,0.21805146,6.5188303,2.3765521
132,5.9862533,46.647041,3.2567263,38.563114
133,0.71085382,7.0505691,0.89035738,5.0719976
134,3.3898389,0,3.8736861,0
135,3.0226543,53.035557,6.3095517,46.6395
136,3.7480206,15.67363,3.6808331,9.0256805
137,44.439846,21.566235,29.08441,21.054892
138,3.7664206,0.29034567,6.7072225,1.819558
139,3.793736,49.962753,4.9800539,46.697247
140,4.0852323,0.43838599,6.5096035,1.6471009
141,1.1221914,4.6735892,0.23637822,2.3615353
142,0,3.3449972,0.65373886,3.8663423
143,0,8.4297161,0,7.8081908
144,3.7212548,50.744236,8.0070486,44.36755
145,-0.075678982,53.609924,5.7101536,52.825085
146,3.5496171,49.699947,6.1547022,44.449047
147,0.40689039,3.4323142,-0.03076648,4.5306211
148,0.38007492,51.786907,4.2461429,54.57782
149,4.8115239,6.7190895,1.8730674,5.1707344
150,2.354075,51.997887,8.0723267,45.579945
151,6.8717198,44.56599,5.1590829,36.736702
152,0.31760591,6.4184961,2.2133205,5.2766061
153,7.6154599,43.292561,5.1576819,36.009842
154,27.865276,24.720913,9.2425156,30.35416
155,4.530036,29.147055,2.8963733,17.54867
156,5.1628852,28.065351,3.5257239,16.714741
157,3.4634399,13.707286,4.2513504,7.4690027
158,3.9386868,13.89444,4.5894079,7.2773919
159,1.9974188,5.9901915,2.1659973,4.3257051
160,47.684917,21.500328,34.957737,19.973888
161,3.9197757,51.707447,7.3249722,45.99535
162,0.78932571,51.240685,3.5866578,55.77832
163,6.4274182,32.456039,4.1176991,22.255629
164,0,5.1498146,0,6.8417082
165,5.5203071,30.646925,2.8799915,19.149473
166,45.227322,22.602468,29.121174,22.434172
167,3.4825938,4.9311299,0.25699532,3.1705301
168,6.4565701,8.5559912,3.4966276,8.0167398
169,4.2204881,12.433429,5.0306458,6.1493697
170,5.9027848,31.736202,3.6314864,20.187754
171,1.1855996,53.477261,6.7852197,49.097855
172,5.1315484,0.93213969,8.4385023,2.3632202
173,8.8817568,4.4271998,6.6426058,6.6818213
174,0.014105376,4.6721644,1.8447771,2.8169708
175,2.7461727,50.505116,6.0445013,46.109451
176,3.0165951,0,4.9130812,0.40330875
177,-0.2225059,-0.61445773,-0.17140576,-0.9623884
178,5.5412602,1.59209,7.2353044,0.86788499
179,10.305971,3.7227864,9.1956387,3.7330573
180,1.4536211,1.5491548,3.6747787,0.89643717
181,10.245727,3.0309255,7.108449,2.9417498
182,32.55022,23.526859,13.91508,26.076035
183,5.6468287,0.99067914,9.251235,2.23734
184,15.404281,29.97716,3.02512,34.959183
185,0.77013934,2.9189498,2.6437325,1.3432143
186,6.5374079,36.797215,4.0889015,28.450691
187,6.0974083,1.1895912,4.8175044,2.4860656
188,27.16436,24.843885,9.2346048,29.11208
189,-0.051321287,0.88669151,2.4966676,-0.036371261
190,6.1206226,2.9256501,2.2204006,3.3729885
191,0.85607904,10.934729,0.73403454,10.870023
192,1.1755772,-0.22856441,2.1467795,-0.41188282
193,0,9.0363426,0.47038543,9.8955641
194,5.1602745,0.97323322,5.7879701,3.0589643
195,7.1613469,4.1955218,2.7761285,4.6871905
196,4.9380746,21.076954,3.49912,12.655572
197,3.1625996,0.93728751,3.7703428,1.1018325
198,9.5848513,2.9597194,8.6223116,2.8987999
199,5.0527525,3.324558,2.84834,3.1736121
200,0.49296939,52.56382,3.8114598,48.929817
201,5.1494222,1.7080486,6.0899577,2.5482187
202,0.41654086,0,-0.0366298,0
203,0.99882901,2.5777023,2.22261,4.0761561
204,3.097909,51.845436,7.3288569,46.797768
205,5.931253,53.13295,6.3879571,45.297508
206,1.7173799,50.352192,2.7512658,54.42802
207,1.1885159,0,1.679612,0
208,1.7570206,-0.072783068,1.325464,0.49085435
209,0.61981285,0,0.042259939,0
210,3.2626204,0.00520489,2.5166628,0.32556972
211,0,1.732415,0.76300842,1.3442897
212,6.8631806,34.020264,3.8524938,21.403847
213,1.1561508,52.545376,3.5499938,55.704762
214,0.68703568,3.4884284,-0.096973762,1.71796
215,1.8039514,3.4808228,0.37351805,1.70662
216,7.4809189,5.1362343,5.6121216,5.3099432
217,0.037863597,1.9018028,1.5306437,2.7728565
218,3.4593401,0.029376537,2.5048733,0.85269088
219,1.0619839,-0.059557114,0.76154619,0.85858095
220,53.394051,23.046062,37.309208,22.486887
221,1.2414243,1.0785701,0.050906658,1.3883485
222,-0.14028548,1.32576,0.70046628,0.99851042
223,1.7248611,2.1212792,4.57375,0.64486217
224,1.7978026,0.3492825,1.4658893,1.0091988
225,2.2982633,0.10254821,3.0271885,-0.022929087
226,3.3748646,0.92739815,5.1547031,1.4134274
227,59.10656,30.69005,51.97205,24.142696
228,0.70670164,3.3040617,2.1373072,4.5526519
229,1.6251578,0.68960524,0.032755181,0
230,6.1802039,5.6165724,4.3078427,7.1583834
231,4.7919817,2.0440249,5.7957249,2.8179307
232,1.1267508,57.548203,6.5775599,56.006504
233,-0.55041599,5.8149748,-0.57670259,5.8924298
234,4.3143792,57.774502,7.6444435,51.26265
235,0,6.0480065,0,6.2796841
236,2.6251068,6.2107997,4.9730558,5.9088798
237,6.2287631,6.4131398,3.2272019,6.7894168
238,3.2244496,6.3555055,5.135601,5.1651187
239,0.84901762,52.76091,4.5103283,58.68652
240,28.2484,84.614098,47.052921,65.433754
241,5.2969451,1.86114,5.1401925,0.23408008
242,7.0274644,38.158691,3.8656554,28.093594
243,5.8783493,3.8115301,5.7755961,4.8298507
244,1.9047589,1.3385907,0.72963679,0.40854847
245,1.3178513,4.3452349,1.6036215,2.435864
246,2.295222,7.3024769,1.4819424,6.162992
247,0.26653928,0,1.246052,0
248,-0.034131624,0,1.0628142,0
249,1.704105,5.5089717,3.9892163,6.5281763
250,4.3888402,3.0062406,5.957397,5.2665644
251,0,6.3306828,0,5.7873082
252,1.081404,0,1.7205931,0
253,0.26891321,2.909451,1.6256801,3.9918785
254,7.258873,45.161922,5.3148746,35.555161
255,5.3270855,4.296948,5.0065742,6.3947001
256,1.7936747,0,0.86301506,0
257,2.7877703,5.2013373,0.34370205,5.2584939
258,0.99300158,0,0.63761318,0.43997028
259,53.531723,39.219574,56.475285,28.33972
260,13.361327,31.580891,0.33116984,43.012352
261,52.714603,38.832714,57.073055,27.581491
262,49.524143,42.818985,58.383385,30.213791
263,4.4483285,4.9558148,4.9860573,3.15026
264,5.6587729,4.5716114,3.0299964,4.6792145
265,2.0624976,4.1067171,0.64441347,2.2939537
266,0,5.9615731,0.061366066,6.2881498
267,0,4.7159467,0,5.1248369
268,2.978302,46.590706,3.32652,55.876633
269,4.4947391,55.648258,7.39115,49.3578
270,1.9597454,0.77069521,2.4335601,1.538682
271,0.18566892,0,1.4455301,0
272,6.8566689,2.2550023,7.7158771,3.6447437
273,11.959745,34.331242,0.062849715,48.208038
274,1.129636,0.074876398,1.8450714,1.3258795
275,4.7740211,0.97272044,4.525763,0.012809406
276,-0.67598325,4.8689032,0.97661239,3.2067769
277,0.88980711,0,1.638702,0
278,0.34355983,54.281677,4.7885799,58.436768
279,6.8768978,40.567715,1.2269007,53.378536
280,2.0704858,0.12082476,1.2007369,0
281,15.747857,31.154972,0.80208468,40.980255
282,9.4729681,36.363762,0.48353216,50.671661
283,1.5975263,0.026968002,2.207443,1.2621795
284,1.320636,1.6704466,0.75440609,2.218869
285,42.386734,22.186863,22.190487,23.666159
286,2.0020652,50.387634,3.9113436,57.168026
287,1.736676,1.948246,0.48812199,0.78615803
288,37.718521,62.752113,58.519321,46.701813
289,5.6886592,3.8182316,5.9116392,5.7014647
290,3.8192761,0.04494375,4.2848606,0.67658806
291,4.6255102,1.2270886,5.4250112,1.7826514
292,6.2845864,4.5579357,3.699981,4.7309608
293,17.80019,30.125458,2.2427917,36.374653
294,0.083629593,-0.46880311,1.2112021,-0.45965815
295,5.9515347,51.891052,5.7786689,43.338207
296,6.6012521,4.6010423,5.5683165,5.1011686
297,1.98287,2.3235815,4.3916922,0.27180576
298,0.58845711,2.6282172,1.6289285,0.88312852
299,1.2183172,0,0.053983688,0
300,1.5288501,4.0948939,0,4.1714058
301,25.444386,22.75705,8.8130236,30.334095
302,0,5.4332132,2.778681,5.7199588
303,-0.24778554,58.934986,7.4089489,49.52541
304,1.1755837,0,4.8164759,0
305,23.693041,22.680231,7.1092858,32.710667
306,7.2798185,3.5525639,5.9476848,8.4303255
307,4.7076926,13.339214,0.73516083,10.504481
308,13.824091,21.496979,7.4406161,11.933146
309,7.4728932,7.1211228,4.6028576,12.0482
310,2.02721,14.2525,1.756582,18.172564
311,5.5975313,-0.27909082,7.96382,-0.030051321
312,1.5890601,-0.34914744,5.4841957,-0.17755966
313,0,5.806056,0,4.338717
314,2.2997034,0.90966052,2.2702515,1.3974353
315,-0.008084504,4.116262,-0.31333119,2.6682973
316,2.8418045,55.423943,0,60.344151
317,0,2.5066972,0,1.7203317
318,9.1938648,9.4760571,4.5993643,3.8474228
319,1.697276,17.285402,0.6366182,11.949049
320,6.0879602,4.1039672,9.6591587,4.5947447
321,0,7.9675384,0,5.6834106
322,8.3281059,6.0201116,2.6727796,7.8525481
323,-0.46638966,2.5506537,-0.33245841,1.0171163
324,7.33112,8.9143286,4.0111313,12.799728
325,2.4552875,0,5.402792,0
326,1.7743168,12.527589,1.3536749,16.583319
327,4.0993772,12.671619,0,10.111625
328,5.6129942,1.7828159,7.4121923,3.9645972
329,1.9127731,0,5.7132835,0
330,6.3873577,3.8785393,5.4842515,0.11479619
331,0.99187469,14.065251,0.22495329,8.8234854
332,0,1.8760852,0,1.1749597
333,17.456879,1.277861,8.7499161,3.5570843
334,1.951715,1.766525,2.4880011,0
335,2.0308101,14.717751,1.7702451,18.537344
336,7.2703838,3.3657179,5.080524,0
337,-0.23275337,4.0818906,-0.4601588,2.3833141
338,2.7166464,7.3468919,3.7079229,7.3105278
339,0,1.93866,0.60936034,2.2722762
340,7.6088719,3.843112,7.3489914,5.116642
341,-0.0273718,0.92737919,1.125896,0.10060361
342,0,58.384144,3.8607781,53.670841
343,6.3494573,6.7426295,1.6857029,8.9453812
344,1.6376257,0.088489488,3.5414524,0
345,2.7412148,8.0121641,3.5037298,7.2127061
346,7.7784023,3.7103801,5.9410496,8.9382877
347,-0.08918006,1.5727533,0.58402145,1.0341679
348,1.1504506,2.3153794,3.7422335,3.0522549
349,12.959134,29.120358,11.235089,20.316799
350,5.6119642,1.9642479,7.5901842,4.1571569
351,38.319752,21.847275,21.240404,22.6483
352,6.6989012,42.224178,14.483171,34.669125
353,14.705553,25.621801,9.2615118,16.677937
354,0.032852918,7.2501082,-0.1792521,5.7322307
355,9.4355707,8.6857862,5.0294905,3.2275748
356,1.9108437,19.75428,1.1186712,16.48056
357,4.3818798,1.906148,6.5109739,4.2605886
358,0.024178471,2.1524591,1.0258267,2.0441446
359,2.9545841,-0.38099647,6.2339535,0.66081572
360,34.637714,20.022526,15.525674,23.645868
361,14.230628,23.247772,8.3895121,13.190785
362,1.7064776,3.894376,0.8398543,1.1987435
363,6.3810749,0,9.0238276,1.1166049
364,28.973379,22.304281,10.351918,29.194283
365,2.5712376,0.249764,3.03756,0.61448389
366,5.5976119,0,3.7399998,0
367,-0.06543535,5.7496963,-0.31027931,5.0952144
368,6.5536742,43.049194,13.829864,36.47332
369,2.9156246,5.1995082,1.2548858,3.468178
370,41.319801,19.716839,24.290743,20.412279
371,2.3716805,50.808784,12.716,42.6731
372,2.6957932,0,2.3276472,0
373,2.8679028,1.07455,2.5582099,0.048046336
374,14.585177,26.88468,8.6878424,17.149332
375,6.4943151,42.490532,14.703803,35.245399
376,0.69297504,0.29514256,2.7360611,0.34599712
377,15.614011,1.5672523,14.160794,1.1598065
378,-0.041872948,59.611641,5.1051073,55.849613
379,3.4667079,-0.42765462,6.7687469,0.67609978
380,12.57764,17.284224,6.1783028,9.4624424
381,6.6669235,44.582874,13.967571,38.561852
382,0,0.62480325,0.02348423,0
383,8.2191677,7.2868514,2.6667116,10.106976
384,2.194392,12.198342,0,8.5208855
385,4.0445743,7.5370641,2.7799141,5.7120404
386,0.95865393,59.43784,3.680896,58.533726
387,16.733507,1.2511722,8.5178595,3.3476579
388,5.7490854,2.3746917,8.3145142,4.3145247
389,3.0676379,0.2978192,3.60763,0.23828441
390,17.303192,1.0666015,8.82372,2.2909751
391,33.306839,90.785179,51.99556,77.123856
392,0.64440238,7.5665112,-0.058405891,5.0493579
393,0.32957914,4.607523,0,4.2380939
394,0.45169467,4.715858,-0.1995942,3.7875159
395,8.7811518,15.04151,4.047368,7.7096419
396,2.0546036,4.03162,1.6700109,1.7832686
397,2.1245966,4.8072309,1.9439369,2.6249197
398,29.837395,22.91387,11.12404,28.160521
399,7.2671828,2.1362171,12.71644,1.7785
400,30.970634,22.648729,11.60838,27.817636
